Date,Close,DMA,DMA25,DMA50,BuyLevel,SellLevel,BuySignal,BuyPrice,SellSignal,SellPrice
2024-12-10,189.79,,,,,,0,,0,
2024-12-11,196.3,,,,,,0,,0,
2024-12-12,195.33,,,,,,0,,0,
2024-12-13,193.5,,,,,,0,,0,
2024-12-16,190.67,,,,,,0,,0,
2024-12-17,191.61,,,,,,0,,0,
2024-12-18,191.91,,,,,,0,,0,
2024-12-19,191.28,,,,,,0,,0,
2024-12-20,184.34,,,,,,0,,0,
2024-12-23,181.66,,,,,,0,,0,
2024-12-24,179.99,,,,,,0,,0,
2024-12-26,179.04,,,,,,0,,0,
2024-12-27,179.71,,,,,,0,,0,
2024-12-30,177.92,,,,,,0,,0,
2024-12-31,182.28,,,,,,0,,0,
2025-01-01,183.03,,,,,,0,,0,
2025-01-02,184.22,,,,,,0,,0,
2025-01-03,183.04,,,,,,0,,0,
2025-01-06,175.62,,,,,,0,,0,
2025-01-07,175.2,,,,,,0,,0,
2025-01-08,172.09,,,,,,0,,0,
2025-01-09,169.18,,,,,,0,,0,
2025-01-10,166.43,,,,,,0,,0,
2025-01-13,164.99,,,,,,0,,0,
2025-01-14,165.49,,181.78,,,,0,,0,
2025-01-15,164.15,,180.76,,,,0,,0,
2025-01-16,166.42,,179.56,,,,0,,0,
2025-01-17,165.45,,178.37,,,,0,,0,
2025-01-20,168.21,,177.36,,,,0,,0,
2025-01-21,164.43,,176.31,,,,0,,0,
2025-01-22,156.59,,174.91,,,,0,,0,
2025-01-23,155.99,,173.47,,,,0,,0,
2025-01-24,150.83,,171.85,,,,0,,0,
2025-01-27,147.68,,170.39,,,,0,,0,
2025-01-28,142.64,,168.82,,,,0,,0,
2025-01-29,150.42,,167.64,,,,0,,0,
2025-01-30,149.52,,166.46,,,,0,,0,
2025-01-31,151.76,,165.34,,,,0,,0,
2025-02-01,156.88,,164.5,,,,0,,0,
2025-02-03,153.17,,163.34,,,,0,,0,
2025-02-04,150.64,,162.04,,,,0,,0,
2025-02-05,151.2,,160.72,,,,0,,0,
2025-02-06,152.05,,159.48,,,,0,,0,
2025-02-07,148.29,,158.39,,,,0,,0,
2025-02-10,144.34,,157.15,,,,0,,0,
2025-02-11,138.76,,155.82,,,,0,,0,
2025-02-12,136.82,,154.53,,,,0,,0,
2025-02-13,134.76,,153.26,,,,0,,0,
2025-02-14,132.36,,151.95,,,,0,,0,
2025-02-17,130.27,166.16,150.55,166.16,159.52,172.81,1,130.27,0,
2025-02-18,136.81,165.11,149.45,165.11,158.5,171.71,0,,0,
2025-02-19,136.15,163.9,148.24,163.9,157.35,170.46,0,,0,
2025-02-20,136.75,162.73,147.09,162.73,156.22,169.24,0,,0,
2025-02-21,136.17,161.58,145.81,161.58,155.12,168.05,0,,0,
2025-02-24,133.97,160.45,144.59,160.45,154.03,166.87,0,,0,
2025-02-25,133.65,159.29,143.68,159.29,152.92,165.66,0,,0,
2025-02-27,129.48,158.04,142.61,158.04,151.72,164.36,0,,0,
2025-02-28,124.95,156.72,141.58,156.72,150.45,162.98,0,,0,
2025-03-03,129.17,155.61,140.84,155.61,149.39,161.84,0,,0,
2025-03-04,132.85,154.64,140.45,154.64,148.45,160.82,0,,0,
2025-03-05,136.43,153.76,139.89,153.76,147.61,159.92,0,,0,
2025-03-06,136.61,152.92,139.37,152.92,146.8,159.03,0,,0,
2025-03-07,136.95,152.06,138.78,152.06,145.98,158.14,0,,0,
2025-03-10,133.7,151.18,137.85,151.18,145.13,157.22,0,,0,
2025-03-11,135.71,150.25,137.15,150.25,144.24,156.26,0,,0,
2025-03-12,130.34,149.19,136.34,149.19,143.22,155.16,0,,0,
2025-03-13,132.18,148.15,135.58,148.15,142.22,154.08,0,,0,
2025-03-17,129.87,147.09,134.69,147.09,141.2,152.97,0,,0,
2025-03-18,131.69,146.21,134.03,146.21,140.36,152.06,0,,0,
2025-03-19,136.71,145.44,133.72,145.44,139.62,151.26,0,,0,
2025-03-20,136.4,144.73,133.63,144.73,138.94,150.51,0,,0,
2025-03-21,135.88,144.06,133.59,144.06,138.3,149.82,0,,0,
2025-03-24,141.85,143.57,133.88,143.57,137.82,149.31,0,,0,
2025-03-25,138.88,143.05,134.14,143.05,137.32,148.77,0,,0,
2025-03-26,134.47,142.43,134.3,142.43,136.73,148.12,0,,0,
2025-03-27,142.1,141.98,134.52,141.98,136.3,147.66,0,,0,
2025-03-28,138.09,141.42,134.59,141.42,135.76,147.07,0,,0,
2025-04-01,140.45,140.92,134.74,140.92,135.28,146.55,0,,0,
2025-04-02,141.42,140.38,134.95,140.38,134.77,146.0,0,,0,
2025-04-03,142.7,139.95,135.3,139.95,134.35,145.54,0,,0,
2025-04-04,138.7,139.59,135.5,139.59,134.01,145.17,0,,0,
2025-04-07,133.56,139.14,135.67,139.14,133.57,144.71,0,,0,
2025-04-08,136.72,138.86,136.14,138.86,133.3,144.41,0,,0,
2025-04-09,134.86,138.6,136.36,138.6,133.06,144.15,0,,0,
2025-04-11,138.76,138.52,136.6,138.52,132.98,144.07,0,,0,
2025-04-15,141.43,138.34,136.8,138.34,132.81,143.88,0,,0,
2025-04-16,143.41,138.22,137.07,138.22,132.69,143.75,0,,0,
2025-04-17,143.12,138.05,137.32,138.05,132.53,143.57,0,,0,
2025-04-21,151.13,137.93,138.02,137.93,132.42,143.45,0,,1,151.13
2025-04-22,150.05,137.87,138.59,137.87,132.36,143.39,0,,0,
2025-04-23,149.81,137.86,139.37,137.86,132.34,143.37,0,,0,
2025-04-24,147.42,137.78,139.98,137.78,132.27,143.29,0,,0,
2025-04-25,141.34,137.57,140.44,137.57,132.06,143.07,0,,0,
2025-04-28,138.0,137.36,140.69,137.36,131.87,142.85,0,,0,
2025-04-29,137.47,137.22,140.72,137.22,131.73,142.71,0,,0,
2025-04-30,132.99,137.11,140.58,137.11,131.62,142.59,0,,0,
2025-05-02,132.65,137.02,140.46,137.02,131.54,142.5,0,,0,
2025-05-05,135.97,137.05,140.22,137.05,131.57,142.53,0,,0,
2025-05-06,130.85,137.02,139.9,137.02,131.54,142.5,1,130.85,0,
2025-05-07,131.87,137.05,139.79,137.05,131.57,142.53,0,,0,
2025-05-08,132.14,136.96,139.4,136.96,131.48,142.43,0,,0,
2025-05-09,131.27,136.86,139.12,136.86,131.38,142.33,0,,0,
2025-05-12,138.28,136.89,139.04,136.89,131.41,142.36,0,,0,
2025-05-13,139.16,136.95,138.95,136.95,131.47,142.43,0,,0,
2025-05-14,142.52,137.12,138.94,137.12,131.64,142.61,0,,0,
2025-05-15,143.56,137.32,139.13,137.32,131.83,142.81,0,,1,143.56
2025-05-16,144.96,137.63,139.59,137.63,132.12,143.13,0,,0,
2025-05-19,148.1,138.09,140.04,138.09,132.57,143.61,0,,0,
2025-05-20,145.38,138.42,140.47,138.42,132.88,143.95,0,,0,
2025-05-21,146.74,138.69,140.78,138.69,133.15,144.24,0,,0,
2025-05-22,145.06,138.87,140.93,138.87,133.31,144.42,0,,0,
2025-05-23,146.97,139.07,141.07,139.07,133.51,144.64,0,,0,
2025-05-26,147.92,139.29,141.26,139.29,133.72,144.86,0,,0,
2025-05-27,147.39,139.57,141.11,139.57,133.98,145.15,0,,0,
2025-05-28,148.29,139.82,141.04,139.82,134.22,145.41,0,,0,
2025-05-29,147.93,140.17,140.97,140.17,134.56,145.78,0,,0,
2025-05-30,156.15,140.65,141.32,140.65,135.02,146.27,0,,0,
2025-06-02,158.25,141.22,141.99,141.22,135.57,146.87,0,,0,
2025-06-03,155.28,141.69,142.69,141.69,136.02,147.36,0,,0,
2025-06-04,156.83,142.09,143.46,142.09,136.41,147.77,0,,0,
2025-06-05,157.99,142.52,144.46,142.52,136.82,148.22,0,,0,
2025-06-06,157.25,142.95,145.44,142.95,137.23,148.67,0,,0,
2025-06-09,159.48,143.3,146.38,143.3,137.57,149.03,0,,0,
2025-06-10,163.33,143.79,147.68,143.79,138.04,149.54,0,,0,
2025-06-11,163.6,144.37,148.95,144.37,138.6,150.15,0,,0,
2025-06-12,161.23,144.76,150.12,144.76,138.97,150.55,0,,0,
2025-06-13,159.0,145.17,151.23,145.17,139.37,150.98,0,,0,
2025-06-16,160.19,145.57,152.1,145.57,139.75,151.39,0,,0,
2025-06-17,159.06,145.92,152.9,145.92,140.09,151.76,0,,0,
2025-06-18,159.11,146.25,153.56,146.25,140.4,152.1,0,,0,
2025-06-19,156.61,146.61,154.08,146.61,140.74,152.47,0,,0,
2025-06-20,155.07,147.04,154.49,147.04,141.16,152.92,0,,0,
2025-06-23,161.13,147.53,155.01,147.53,141.63,153.43,0,,0,
2025-06-24,158.99,148.01,155.55,148.01,142.09,153.93,0,,0,
2025-06-25,162.04,148.48,156.17,148.48,142.54,154.41,0,,0,
2025-06-26,161.71,148.88,156.83,148.88,142.93,154.84,0,,0,
2025-06-27,162.95,149.27,157.47,149.27,143.3,155.24,0,,0,
2025-06-30,161.52,149.64,158.02,149.64,143.65,155.63,0,,0,
2025-07-01,160.65,149.83,158.55,149.83,143.84,155.82,0,,0,
2025-07-02,158.4,150.0,158.95,150.0,144.0,156.0,0,,0,
2025-07-03,158.41,150.17,159.37,150.17,144.16,156.18,0,,0,
2025-07-04,157.07,150.36,159.41,150.36,144.35,156.38,0,,0,
2025-07-07,157.36,150.68,159.37,150.68,144.66,156.71,0,,0,
2025-07-08,155.31,151.03,159.37,151.03,144.99,157.07,0,,0,
2025-07-09,155.96,151.4,159.34,151.4,145.34,157.45,0,,0,
2025-07-10,156.24,151.86,159.27,151.86,145.79,157.94,0,,0,
2025-07-11,158.27,152.38,159.31,152.38,146.28,158.47,0,,0,
2025-07-14,158.63,152.83,159.27,152.83,146.72,158.94,0,,0,
2025-07-15,159.27,153.4,159.11,153.4,147.26,159.53,0,,0,
2025-07-16,159.8,153.96,158.96,153.96,147.8,160.11,0,,0,
2025-07-17,159.62,154.51,158.89,154.51,148.33,160.69,0,,0,
2025-07-18,163.1,155.14,159.06,155.14,148.94,161.35,0,,0,
2025-07-21,164.38,155.66,159.23,155.66,149.44,161.89,0,,0,
2025-07-22,161.64,156.11,159.33,156.11,149.87,162.36,0,,0,
2025-07-23,161.31,156.49,159.42,156.49,150.23,162.75,0,,0,
2025-07-24,165.83,156.94,159.79,156.94,150.66,163.21,0,,0,
2025-07-25,160.58,157.25,160.01,157.25,150.96,163.54,0,,0,
2025-07-28,156.48,157.42,159.82,157.42,151.12,163.71,0,,0,
2025-07-29,159.66,157.7,159.85,157.7,151.39,164.01,0,,0,
2025-07-30,158.72,157.94,159.71,157.94,151.62,164.26,0,,0,
2025-07-31,158.23,158.2,159.58,158.2,151.88,164.53,0,,0,
2025-08-01,159.74,158.46,159.45,158.46,152.12,164.8,0,,0,
2025-08-04,158.66,158.67,159.33,158.67,152.33,165.02,0,,0,
2025-08-05,158.57,158.9,159.25,158.9,152.54,165.25,0,,0,
2025-08-06,154.85,159.03,159.11,159.03,152.67,165.39,0,,0,
2025-08-07,152.7,159.12,158.88,159.12,152.76,165.49,1,152.7,0,
2025-08-08,157.48,159.15,158.9,159.15,152.78,165.52,0,,0,
2025-08-11,155.44,159.09,158.82,159.09,152.73,165.46,0,,0,
2025-08-12,156.7,159.12,158.87,159.12,152.76,165.49,0,,0,
2025-08-13,157.42,159.13,158.93,159.13,152.77,165.5,0,,0,
2025-08-14,153.83,159.05,158.84,159.05,152.69,165.41,0,,0,
2025-08-18,153.66,158.98,158.65,158.98,152.62,165.34,0,,0,
2025-08-19,154.37,158.88,158.48,158.88,152.52,165.23,0,,0,
2025-08-20,155.94,158.73,158.35,158.73,152.38,165.08,0,,0,
2025-08-21,156.77,158.59,158.23,158.59,152.25,164.94,0,,0,
2025-08-22,156.06,158.49,158.08,158.49,152.15,164.83,0,,0,
2025-08-25,156.91,158.45,157.84,158.45,152.11,164.79,0,,0,
2025-08-26,156.22,158.37,157.51,158.37,152.03,164.7,0,,0,
2025-08-28,150.99,158.21,157.08,158.21,151.88,164.54,0,,0,
