Date,Close,DMA,DMA25,DMA50,BuyLevel,SellLevel,BuySignal,BuyPrice,SellSignal,SellPrice
2019-04-01,25.05,,,,,,0,,0,
2019-04-02,25.5,,,,,,0,,0,
2019-04-03,24.6,,,,,,0,,0,
2019-04-04,24.5,,,,,,0,,0,
2019-04-05,24.3,,,,,,0,,0,
2019-04-08,24.4,,,,,,0,,0,
2019-04-09,24.2,,,,,,0,,0,
2019-04-10,24.15,,,,,,0,,0,
2019-04-11,24.0,,,,,,0,,0,
2019-04-12,24.0,,,,,,0,,0,
2019-04-15,24.1,,,,,,0,,0,
2019-04-16,24.0,,,,,,0,,0,
2019-04-18,23.65,,,,,,0,,0,
2019-04-22,23.5,,,,,,0,,0,
2019-04-23,23.3,,,,,,0,,0,
2019-04-24,23.35,,,,,,0,,0,
2019-04-25,23.1,,,,,,0,,0,
2019-04-26,23.5,,,,,,0,,0,
2019-04-30,23.35,,,,,,0,,0,
2019-05-02,23.1,,,,,,0,,0,
2019-05-03,23.55,,,,,,0,,0,
2019-05-06,23.25,,,,,,0,,0,
2019-05-07,23.25,,,,,,0,,0,
2019-05-08,22.9,,,,,,0,,0,
2019-05-09,22.65,23.81,23.81,,22.62,25.0,0,,0,
2019-05-10,22.45,23.71,23.71,,22.52,24.89,1,22.45,0,
2019-05-13,22.1,23.57,23.57,,22.39,24.75,0,,0,
2019-05-14,22.1,23.47,23.47,,22.3,24.64,0,,0,
2019-05-15,22.3,23.38,23.38,,22.21,24.55,0,,0,
2019-05-16,21.75,23.28,23.28,,22.12,24.44,0,,0,
2019-05-17,22.15,23.19,23.19,,22.03,24.35,0,,0,
2019-05-20,23.15,23.15,23.15,,21.99,24.31,0,,0,
2019-05-21,22.85,23.1,23.1,,21.94,24.25,0,,0,
2019-05-22,22.95,23.05,23.05,,21.9,24.21,0,,0,
2019-05-23,22.8,23.01,23.01,,21.86,24.16,0,,0,
2019-05-24,23.05,22.96,22.96,,21.82,24.11,0,,0,
2019-05-27,23.6,22.95,22.95,,21.8,24.1,0,,0,
2019-05-28,25.35,23.02,23.02,,21.87,24.17,0,,1,25.35
2019-05-29,25.0,23.08,23.08,,21.92,24.23,0,,0,
2019-05-30,24.85,23.14,23.14,,21.98,24.29,0,,0,
2019-05-31,25.05,23.21,23.21,,22.05,24.37,0,,0,
2019-06-03,24.85,23.28,23.28,,22.11,24.44,0,,0,
2019-06-04,25.0,23.34,23.34,,22.17,24.5,0,,0,
2019-06-06,24.9,23.4,23.4,,22.23,24.57,0,,0,
2019-06-07,25.0,23.47,23.47,,22.3,24.65,0,,0,
2019-06-10,24.75,23.52,23.52,,22.35,24.7,0,,0,
2019-06-11,24.65,23.58,23.58,,22.4,24.76,0,,0,
2019-06-12,24.85,23.64,23.64,,22.46,24.82,0,,0,
2019-06-13,24.6,23.71,23.71,,22.52,24.9,0,,0,
2019-06-14,24.55,23.79,23.79,23.8,22.6,24.98,0,,0,
2019-06-17,24.0,23.85,23.85,23.78,22.66,25.04,0,,0,
2019-06-18,24.5,23.94,23.94,23.76,22.75,25.14,0,,0,
2019-06-19,24.55,24.04,24.04,23.76,22.84,25.24,0,,0,
2019-06-20,24.8,24.14,24.14,23.76,22.93,25.35,0,,0,
2019-06-21,25.2,24.28,24.28,23.78,23.07,25.49,0,,0,
2019-06-24,25.05,24.4,24.4,23.79,23.18,25.62,0,,0,
2019-06-25,24.7,24.46,24.46,23.8,23.24,25.68,0,,0,
2019-06-26,25.0,24.54,24.54,23.82,23.32,25.77,0,,0,
2019-06-27,24.95,24.62,24.62,23.84,23.39,25.86,0,,0,
2019-06-28,24.8,24.7,24.7,23.86,23.47,25.94,0,,0,
2019-07-01,24.9,24.78,24.78,23.87,23.54,26.02,0,,0,
2019-07-02,24.8,24.83,24.83,23.89,23.58,26.07,0,,0,
2019-07-03,24.7,24.8,24.8,23.91,23.56,26.04,0,,0,
2019-07-04,24.6,24.78,24.78,23.93,23.54,26.02,0,,0,
2019-07-05,24.45,24.77,24.77,23.95,23.53,26.01,0,,0,
2019-07-08,23.9,24.72,24.72,23.96,23.49,25.96,0,,0,
2019-07-09,24.15,24.69,24.69,23.98,23.46,25.93,0,,0,
2019-07-10,23.85,24.65,24.65,23.99,23.42,25.88,0,,0,
