Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,DMA25,DMA50,DMA75,DMA100,DMA150,DMA200,BuyLevel,SellLevel,BuySignal,SellSignal,BuyPrice,SellPrice
2024-04-01,EQ,133.6,138.85,133.0,132.25,134.85,134.3,135.9,139.7,95.9,"85,47,391","1,16,15,57,888.80","49,121",,,,,,,,,0,0,,
2024-04-02,EQ,135.3,137.1,133.7,134.3,135.65,135.3,135.41,139.7,95.9,"48,99,739","66,34,60,730.40","29,811",,,,,,,,,0,0,,
2024-04-03,EQ,135.2,141.4,133.8,135.3,138.55,138.6,138.7,141.4,95.9,"1,40,20,038","1,94,45,96,695.00","56,098",,,,,,,,,0,0,,
2024-04-04,EQ,139.8,140.35,133.35,138.6,134.4,134.0,135.99,141.4,95.9,"66,78,142","90,81,80,498.90","35,425",,,,,,,,,0,0,,
2024-04-05,EQ,135.0,137.9,132.15,134.0,137.15,137.2,135.72,141.4,95.9,"58,99,316","80,06,74,283.50","32,427",,,,,,,,,0,0,,
2024-04-08,EQ,138.0,138.1,133.75,137.2,134.35,134.25,135.4,141.4,95.9,"37,00,722","50,10,93,315.35","20,778",,,,,,,,,0,0,,
2024-04-09,EQ,134.95,137.9,133.5,134.25,134.05,134.0,135.53,141.4,95.9,"38,93,364","52,76,69,018.25","29,564",,,,,,,,,0,0,,
2024-04-10,EQ,134.9,137.25,133.9,134.0,134.15,134.3,135.07,141.4,95.9,"40,75,296","55,04,48,428.05","25,486",,,,,,,,,0,0,,
2024-04-12,EQ,134.05,142.35,134.0,134.3,135.45,135.6,138.65,142.35,95.9,"1,36,56,675","1,89,34,53,595.45","64,499",,,,,,,,,0,0,,
2024-04-15,EQ,131.0,133.7,127.2,135.6,131.6,131.7,131.01,142.35,95.9,"65,97,444","86,43,45,284.85","38,325",,,,,,,,,0,0,,
2024-04-16,EQ,130.4,133.3,129.0,131.7,131.0,131.15,131.87,142.35,95.9,"34,63,689","45,67,64,758.60","19,878",,,,,,,,,0,0,,
2024-04-18,EQ,132.2,135.15,130.0,131.15,131.5,130.7,133.13,142.35,95.9,"40,28,410","53,63,05,362.10","20,717",,,,,,,,,0,0,,
2024-04-19,EQ,128.0,130.6,127.0,130.7,129.4,129.75,129.26,142.35,95.9,"35,77,564","46,24,27,156.90","25,734",,,,,,,,,0,0,,
2024-04-22,EQ,131.1,134.1,128.55,129.75,129.8,129.5,130.93,142.35,95.9,"38,57,218","50,50,35,807.60","20,536",,,,,,,,,0,0,,
2024-04-23,EQ,130.9,132.4,129.35,129.5,129.85,130.0,130.58,142.35,95.9,"37,46,515","48,92,08,266.05","25,602",,,,,,,,,0,0,,
2024-04-24,EQ,131.1,136.9,130.45,130.0,134.9,134.7,134.92,142.35,95.9,"83,58,750","1,12,77,96,575.70","41,373",,,,,,,,,0,0,,
2024-04-25,EQ,134.9,136.2,132.25,134.7,134.4,134.5,134.79,142.35,95.9,"31,65,804","42,67,22,131.70","16,593",,,,,,,,,0,0,,
2024-04-26,EQ,135.15,135.3,130.8,134.5,132.7,132.15,133.26,142.35,95.9,"29,59,220","39,43,57,386.70","17,547",,,,,,,,,0,0,,
2024-04-29,EQ,133.0,142.75,132.7,132.15,141.8,141.75,140.21,142.75,95.9,"1,76,49,227","2,47,46,13,226.55","77,957",,,,,,,,,0,0,,
2024-04-30,EQ,142.3,144.0,138.6,141.75,139.95,139.4,141.04,144.0,95.9,"78,46,047","1,10,66,45,658.50","41,381",,,,,,,,,0,0,,
2024-05-02,EQ,140.3,140.75,137.7,139.4,139.2,139.25,139.07,144.0,95.9,"34,71,880","48,28,50,195.35","21,548",,,,,,,,,0,0,,
2024-05-03,EQ,139.75,140.75,135.75,139.25,138.8,138.75,138.25,144.0,95.9,"44,31,148","61,26,27,494.20","21,974",,,,,,,,,0,0,,
2024-05-06,EQ,138.75,138.85,132.25,138.75,134.25,134.2,134.55,144.0,95.9,"37,38,915","50,30,52,513.75","28,885",,,,,,,,,0,0,,
