Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
02-Dec-2025,EQ,"46.42","46.63","46.06","46.66","46.41","46.41","46.36","66.20","36.66",2505266,"11,61,41,418.74",16664
01-Dec-2025,EQ,"45.90","46.80","45.45","45.66","46.55","46.66","46.27","66.20","36.66",3139423,"14,52,63,583.76",19127
28-Nov-2025,EQ,"46.50","46.55","45.50","46.27","45.64","45.66","45.81","66.20","36.66",2943752,"13,48,67,015.30",27586
27-Nov-2025,EQ,"46.44","46.45","45.45","45.98","46.42","46.27","46.05","66.20","36.66",4208556,"19,38,16,080.17",23823
26-Nov-2025,EQ,"46.83","46.94","45.90","46.79","46.00","45.98","46.21","66.20","36.66",3878284,"17,92,15,833.46",25446
25-Nov-2025,EQ,"47.58","47.81","46.70","47.59","46.85","46.79","47.00","66.20","36.66",2301649,"10,81,79,479.69",16774
24-Nov-2025,EQ,"48.59","49.34","47.10","48.42","47.58","47.59","48.08","66.20","36.66",5842053,"28,08,70,070.33",30311
21-Nov-2025,EQ,"48.99","49.05","47.82","49.05","48.49","48.42","48.13","66.20","36.66",13603541,"65,47,97,175.79",37681
20-Nov-2025,EQ,"48.70","49.44","48.56","48.64","48.88","49.05","49.08","66.20","36.66",5934183,"29,12,73,945.34",42260
19-Nov-2025,EQ,"48.45","48.95","47.81","48.42","48.67","48.64","48.33","66.20","36.66",9989905,"48,27,89,143.18",49317
18-Nov-2025,EQ,"49.07","49.40","48.30","49.01","48.33","48.42","48.68","66.20","36.66",7899171,"38,45,36,578.64",32352
17-Nov-2025,EQ,"48.00","49.09","47.73","47.96","49.03","49.01","48.50","66.20","36.66",6674298,"32,36,71,336.57",44002
14-Nov-2025,EQ,"47.39","48.45","47.36","47.39","47.95","47.96","48.05","66.20","36.66",5709408,"27,43,45,123.00",44315
13-Nov-2025,EQ,"46.00","47.50","46.00","46.35","47.35","47.39","47.09","66.20","36.66",4399025,"20,71,37,466.57",33547
12-Nov-2025,EQ,"46.39","46.67","46.01","46.42","46.04","46.35","46.35","66.20","36.66",2365668,"10,96,40,549.76",19231
11-Nov-2025,EQ,"45.70","46.71","45.12","45.87","46.35","46.42","45.92","66.20","36.66",3221030,"14,78,97,139.31",28471
