Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
03-Dec-2025,EQ,"32.05","32.57","32.02","32.35","32.41","32.37","32.28","57.46","31.25",510139,"1,64,65,080.09",2588
02-Dec-2025,EQ,"33.30","33.30","32.00","32.88","32.40","32.35","32.29","57.46","31.25",784653,"2,53,39,875.25",4985
01-Dec-2025,EQ,"33.00","33.91","32.00","32.56","33.15","32.88","33.20","57.46","31.25",872851,"2,89,80,677.86",6324
28-Nov-2025,EQ,"34.80","34.80","31.25","34.29","33.00","32.56","33.19","58.14","31.25",1242699,"4,12,41,343.18",7048
27-Nov-2025,EQ,"34.60","34.77","34.00","34.26","34.32","34.29","34.45","58.14","33.97",421923,"1,45,37,159.64",2262
26-Nov-2025,EQ,"34.95","34.95","33.97","34.38","34.49","34.26","34.39","58.14","33.97",583041,"2,00,48,637.03",3112
25-Nov-2025,EQ,"34.24","34.62","34.00","34.36","34.40","34.38","34.29","58.14","34.00",496326,"1,70,21,173.38",3128
24-Nov-2025,EQ,"35.40","35.86","34.10","35.54","34.10","34.36","34.76","58.14","34.10",422297,"1,46,79,385.63",3528
21-Nov-2025,EQ,"35.70","36.01","35.31","36.05","35.73","35.54","35.68","58.14","34.50",305528,"1,09,00,119.55",2417
20-Nov-2025,EQ,"35.75","36.19","35.60","35.75","36.10","36.05","35.95","58.14","34.50",377202,"1,35,61,290.93",2485
19-Nov-2025,EQ,"36.75","36.75","35.60","36.65","35.78","35.75","36.07","58.14","34.50",622396,"2,24,49,637.20",3303
18-Nov-2025,EQ,"36.42","36.80","36.42","36.58","36.52","36.65","36.58","58.14","34.50",349022,"1,27,66,430.03",1994
17-Nov-2025,EQ,"38.00","38.01","36.30","37.95","36.60","36.58","36.67","58.14","34.50",1259355,"4,61,79,529.08",6128
14-Nov-2025,EQ,"38.05","38.47","37.67","38.04","37.85","37.95","38.03","58.14","34.50",293058,"1,11,44,191.36",1768
13-Nov-2025,EQ,"39.50","39.50","37.91","39.50","38.08","38.04","38.31","58.14","34.50",816515,"3,12,81,301.86",4205
12-Nov-2025,EQ,"38.50","39.98","38.35","38.38","39.55","39.50","39.20","58.14","34.50",572360,"2,24,35,023.24",2932
11-Nov-2025,EQ,"38.30","38.50","37.81","38.30","38.50","38.38","38.10","58.14","34.50",270705,"1,03,14,208.22",1953
10-Nov-2025,EQ,"39.48","39.48","38.21","38.83","38.50","38.30","38.50","58.14","34.50",392076,"1,50,96,735.05",2382
07-Nov-2025,EQ,"38.95","38.95","38.36","38.93","38.88","38.83","38.67","60.30","34.50",232803,"90,01,593.16",1748
06-Nov-2025,EQ,"39.60","39.74","38.80","39.67","38.95","38.93","39.05","60.30","34.50",300676,"1,17,42,116.64",2198
04-Nov-2025,EQ,"39.86","40.03","39.55","39.86","39.78","39.67","39.73","60.30","34.50",185041,"73,52,249.78",1360
03-Nov-2025,EQ,"39.87","40.09","39.73","39.90","39.90","39.86","39.91","60.30","34.50",204101,"81,44,919.58",1599
31-Oct-2025,EQ,"40.31","40.31","39.72","40.02","39.82","39.90","39.92","60.30","34.50",357524,"1,42,73,666.54",2149
30-Oct-2025,EQ,"40.73","41.00","39.90","40.57","39.90","40.02","40.26","60.30","34.50",549476,"2,21,23,168.64",2303
29-Oct-2025,EQ,"39.55","40.85","39.19","39.15","40.55","40.57","40.12","60.30","34.50",1032235,"4,14,18,200.63",3785
28-Oct-2025,EQ,"39.25","39.66","39.05","39.41","39.18","39.15","39.31","60.30","34.50",296029,"1,16,36,381.12",2320
27-Oct-2025,EQ,"39.90","40.10","39.24","39.66","39.50","39.41","39.51","60.30","34.50",315616,"1,24,71,537.40",2555
24-Oct-2025,EQ,"40.34","40.44","39.54","40.27","39.75","39.66","39.86","60.30","34.50",438121,"1,74,65,347.42",2685
23-Oct-2025,EQ,"39.84","40.75","39.24","39.30","40.36","40.27","40.20","60.30","34.50",718444,"2,88,80,710.66",4095
21-Oct-2025,EQ,"39.00","39.55","38.80","39.00","39.30","39.30","39.32","60.30","34.50",231573,"91,06,478.75",1531
20-Oct-2025,EQ,"39.05","39.18","38.43","38.87","39.03","39.00","38.79","60.30","34.50",384464,"1,49,12,367.89",2858
17-Oct-2025,EQ,"40.00","40.14","38.63","39.86","38.80","38.87","39.15","60.30","34.50",892954,"3,49,62,553.58",4563
16-Oct-2025,EQ,"40.49","40.49","39.73","39.83","39.92","39.86","40.04","60.30","34.50",283405,"1,13,46,898.23",2047
15-Oct-2025,EQ,"39.10","39.98","38.70","39.11","39.97","39.83","39.24","60.30","34.50",823943,"3,23,33,177.49",3799
14-Oct-2025,EQ,"40.05","40.27","39.00","39.98","39.17","39.11","39.60","60.30","34.50",757799,"3,00,05,217.99",4685
13-Oct-2025,EQ,"40.38","40.43","39.80","40.43","40.00","39.98","40.05","60.30","34.50",307304,"1,23,06,494.37",2510
10-Oct-2025,EQ,"40.54","41.00","40.30","40.36","40.45","40.43","40.53","60.30","34.50",300504,"1,21,78,418.56",2156
09-Oct-2025,EQ,"40.83","40.83","40.03","40.57","40.12","40.36","40.33","60.30","34.50",269478,"1,08,66,876.82",2514
08-Oct-2025,EQ,"40.76","41.10","40.52","40.70","40.55","40.57","40.71","60.30","34.50",248086,"1,01,00,021.05",1570
07-Oct-2025,EQ,"41.19","41.34","40.56","41.05","40.74","40.70","40.80","60.30","34.50",203531,"83,03,622.60",2395
06-Oct-2025,EQ,"41.45","41.70","41.00","41.42","41.00","41.05","41.22","60.30","34.50",354434,"1,46,11,207.44",2435
03-Oct-2025,EQ,"41.81","42.08","41.26","41.80","41.40","41.42","41.54","60.30","34.50",397345,"1,65,03,926.05",3662
01-Oct-2025,EQ,"40.50","42.00","40.50","40.50","41.89","41.80","41.39","60.30","34.50",609995,"2,52,48,600.90",3189
30-Sep-2025,EQ,"40.76","41.09","40.30","40.76","40.63","40.50","40.64","60.30","34.50",283965,"1,15,39,643.62",2587
29-Sep-2025,EQ,"40.76","42.08","40.59","40.95","40.87","40.76","40.95","60.30","34.50",311883,"1,27,72,757.85",3001
26-Sep-2025,EQ,"42.03","42.03","40.77","41.76","41.03","40.95","41.15","68.40","34.50",318204,"1,30,93,473.51",3253
25-Sep-2025,EQ,"43.10","43.10","41.70","42.50","41.82","41.76","42.19","68.40","34.50",341396,"1,44,02,009.69",2845
24-Sep-2025,EQ,"42.66","43.40","41.85","42.28","42.40","42.50","42.59","68.40","34.50",744556,"3,17,14,045.45",4837
23-Sep-2025,EQ,"43.28","43.36","42.15","43.16","42.32","42.28","42.63","68.40","34.50",654499,"2,79,00,283.02",4247
22-Sep-2025,EQ,"41.20","44.90","41.20","40.84","43.15","43.16","43.65","68.40","34.50",4670344,"20,38,37,408.51",22194
19-Sep-2025,EQ,"41.20","41.34","40.70","41.18","41.04","40.84","40.98","68.90","34.50",257208,"1,05,39,186.85",2088
18-Sep-2025,EQ,"41.59","41.63","40.94","41.25","41.22","41.18","41.30","68.90","34.50",402601,"1,66,28,258.68",2741
17-Sep-2025,EQ,"41.25","41.69","41.07","40.83","41.28","41.25","41.30","68.90","34.50",373976,"1,54,44,670.52",2442
16-Sep-2025,EQ,"40.90","41.70","39.95","40.76","41.06","40.83","41.14","68.90","34.50",731035,"3,00,77,013.98",4045
15-Sep-2025,EQ,"40.51","40.98","40.01","40.49","40.94","40.76","40.56","68.90","34.50",378352,"1,53,46,935.51",3585
12-Sep-2025,EQ,"40.98","40.98","40.25","40.79","40.55","40.49","40.72","68.90","34.50",355800,"1,44,89,439.68",3229
11-Sep-2025,EQ,"40.52","41.10","40.50","40.45","40.81","40.79","40.83","68.90","34.50",279061,"1,13,93,301.95",2336
10-Sep-2025,EQ,"40.39","41.15","40.19","40.24","40.32","40.45","40.57","68.90","34.50",457414,"1,85,58,809.58",3535
09-Sep-2025,EQ,"40.75","41.00","40.06","40.57","40.19","40.24","40.34","68.90","34.50",317750,"1,28,18,788.72",3082
08-Sep-2025,EQ,"40.78","40.83","40.25","40.58","40.52","40.57","40.60","68.90","34.50",277594,"1,12,69,261.61",2502
05-Sep-2025,EQ,"40.91","40.94","40.25","40.91","40.63","40.58","40.65","68.90","34.50",236023,"95,93,234.80",2558
04-Sep-2025,EQ,"41.69","41.90","40.81","41.38","40.85","40.91","41.20","68.90","34.50",302653,"1,24,70,287.71",3326
03-Sep-2025,EQ,"40.96","41.50","40.96","40.76","41.45","41.38","41.24","68.90","34.50",328436,"1,35,46,097.57",2914
02-Sep-2025,EQ,"40.35","41.95","40.35","40.08","41.00","40.76","41.18","68.90","34.50",1234205,"5,08,20,977.32",6794
01-Sep-2025,EQ,"40.27","40.50","39.76","39.99","40.08","40.08","40.08","68.90","34.50",318246,"1,27,53,722.56",2872
29-Aug-2025,EQ,"40.01","40.56","39.75","40.01","39.75","39.99","40.21","68.90","34.50",344113,"1,38,37,339.62",2741
28-Aug-2025,EQ,"40.28","40.79","39.85","40.27","40.00","40.01","40.12","68.90","34.50",325774,"1,30,71,275.75",2568
26-Aug-2025,EQ,"41.50","41.50","39.82","41.42","40.35","40.27","40.80","68.90","34.50",605122,"2,46,86,574.07",4382
25-Aug-2025,EQ,"41.86","42.05","41.21","41.85","41.50","41.42","41.50","68.90","34.50",389862,"1,61,77,444.91",2898
22-Aug-2025,EQ,"41.35","42.22","41.01","41.31","41.90","41.85","41.70","68.90","34.50",389447,"1,62,41,881.74",2906
21-Aug-2025,EQ,"41.65","42.00","41.22","41.61","41.30","41.31","41.57","68.90","34.50",258372,"1,07,39,594.86",2199
20-Aug-2025,EQ,"41.66","42.00","41.17","41.66","41.69","41.61","41.72","68.90","34.50",542503,"2,26,33,649.32",3880
19-Aug-2025,EQ,"40.94","41.95","40.91","40.89","41.58","41.66","41.64","68.90","34.50",504272,"2,09,95,689.43",3250
18-Aug-2025,EQ,"41.52","41.79","40.80","41.02","40.82","40.89","41.21","68.90","34.50",496643,"2,04,64,679.67",3654
14-Aug-2025,EQ,"41.93","42.30","40.55","41.72","41.14","41.02","41.40","68.90","34.50",477156,"1,97,55,831.29",3487
13-Aug-2025,EQ,"41.66","42.45","41.49","40.72","41.80","41.72","41.93","68.90","34.50",781771,"3,27,81,496.04",5186
12-Aug-2025,EQ,"43.00","45.35","39.75","43.13","40.92","40.72","42.17","68.90","34.50",2083394,"8,78,61,353.14",11349
11-Aug-2025,EQ,"43.03","43.65","42.10","43.03","43.00","43.13","42.93","68.90","34.50",475424,"2,04,10,514.41",3728
08-Aug-2025,EQ,"43.98","45.20","42.75","43.76","42.94","43.03","44.04","68.90","34.50",462754,"2,03,79,103.41",2815
07-Aug-2025,EQ,"43.59","44.50","42.75","44.06","43.45","43.76","43.71","68.90","34.50",406362,"1,77,60,763.11",3150
06-Aug-2025,EQ,"44.65","44.84","43.51","44.56","44.00","44.06","44.02","68.90","34.50",271882,"1,19,67,902.50",2367
05-Aug-2025,EQ,"44.48","44.90","43.87","44.43","44.37","44.56","44.36","68.90","34.50",340284,"1,50,93,771.53",2526
04-Aug-2025,EQ,"43.90","44.88","43.58","43.87","44.48","44.43","44.23","68.90","34.50",502663,"2,22,32,538.09",3629
