Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
"26-Nov-2025","EQ","104.00","110.00","103.88","104.00","109.55","109.57","108.79","114.34","68.57","25,53,515","27,78,00,360.63","19,487"
"25-Nov-2025","EQ","103.16","104.30","103.05","104.17","104.00","104.00","103.79","114.34","68.57","5,37,269","5,57,61,320.01","8,086"
"24-Nov-2025","EQ","105.04","105.97","103.42","105.57","104.00","104.17","104.25","114.34","68.57","7,21,308","7,51,99,130.40","7,917"
"21-Nov-2025","EQ","109.37","109.37","104.71","109.94","105.40","105.57","106.96","114.34","68.57","10,65,232","11,39,42,215.08","8,317"
"20-Nov-2025","EQ","108.15","110.95","107.50","110.03","110.00","109.94","109.32","114.34","68.57","14,09,382","15,40,75,543.54","11,290"
"19-Nov-2025","EQ","108.00","111.50","107.61","109.54","110.01","110.03","110.10","114.34","68.57","15,84,797","17,44,92,280.81","11,618"
"18-Nov-2025","EQ","110.34","110.90","107.81","110.34","109.65","109.54","109.45","114.34","68.57","18,92,334","20,71,21,468.24","9,791"
"17-Nov-2025","EQ","109.18","111.68","108.21","109.10","109.90","110.34","110.48","114.34","68.57","28,14,858","31,09,72,291.41","18,875"
"14-Nov-2025","EQ","105.43","109.38","104.62","105.19","109.00","109.10","108.46","114.34","68.57","39,97,719","43,36,02,347.17","22,796"
"13-Nov-2025","EQ","103.00","107.70","100.60","102.83","105.07","105.19","105.01","114.34","68.57","39,78,493","41,77,65,302.28","22,244"
"12-Nov-2025","EQ","98.25","103.10","97.79","98.05","103.04","102.83","101.38","114.34","68.57","41,23,420","41,80,51,335.93","18,660"
"11-Nov-2025","EQ","96.50","98.40","95.05","95.66","98.05","98.05","96.99","114.34","68.57","11,42,400","11,07,98,861.72","7,937"
"10-Nov-2025","EQ","93.40","95.98","93.01","93.40","95.77","95.66","94.49","114.34","68.57","7,46,852","7,05,71,420.29","6,891"
"07-Nov-2025","EQ","91.00","95.59","89.74","91.21","93.25","93.40","93.44","114.34","68.57","16,28,158","15,21,36,849.61","13,069"
"06-Nov-2025","EQ","93.00","93.24","90.91","93.26","91.19","91.21","91.53","114.34","68.57","6,22,137","5,69,43,445.03","5,957"
"04-Nov-2025","EQ","94.10","94.43","93.15","94.01","93.40","93.26","93.58","114.34","68.57","4,64,019","4,34,25,066.70","4,747"
"03-Nov-2025","EQ","94.60","94.62","93.90","94.56","94.00","94.01","94.13","114.34","68.57","3,32,495","3,12,96,561.73","3,538"
"31-Oct-2025","EQ","94.75","95.25","94.45","95.13","94.68","94.56","94.78","114.40","68.57","3,21,734","3,04,92,500.43","2,969"
