Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Nov-2025,EQ,77.23,77.97,76.61,77.23,77.4,77.43,77.45,92.34,71.0,"1,20,28,891","93,16,43,050.79","50,164"
25-Nov-2025,EQ,77.1,77.98,76.6,76.96,77.18,77.23,77.37,92.34,71.0,"1,33,44,341","1,03,24,40,973.49","53,397"
24-Nov-2025,EQ,78.82,78.89,75.93,78.82,77.21,76.96,76.99,92.34,71.0,"2,67,44,638","2,05,90,00,690.57","87,498"
21-Nov-2025,EQ,80.0,80.12,78.65,80.12,78.82,78.82,79.15,92.34,71.0,"71,46,540","56,56,76,945.22","38,668"
20-Nov-2025,EQ,80.59,81.17,80.0,80.05,80.05,80.12,80.46,92.34,71.0,"68,38,932","55,02,37,118.42","36,887"
19-Nov-2025,EQ,80.53,80.68,79.64,80.53,80.1,80.05,80.0,92.34,71.0,"1,10,17,010","88,13,92,304.13","39,141"
18-Nov-2025,EQ,81.59,81.59,80.1,81.25,80.6,80.53,80.5,92.34,71.0,"94,71,269","76,24,30,078.03","35,936"
17-Nov-2025,EQ,80.54,81.5,80.41,80.3,81.3,81.25,81.1,92.34,71.0,"78,27,088","63,47,68,175.74","31,576"
14-Nov-2025,EQ,81.51,81.6,80.0,81.46,80.49,80.3,80.63,92.34,71.0,"1,42,92,619","1,15,24,71,976.36","55,102"
13-Nov-2025,EQ,81.91,82.28,81.31,81.98,81.51,81.46,81.74,92.34,71.0,"65,04,616","53,16,70,132.62","29,748"
12-Nov-2025,EQ,82.1,82.85,81.26,81.89,82.01,81.98,81.87,92.34,71.0,"92,69,353","75,88,73,779.68","41,536"
11-Nov-2025,EQ,82.31,82.75,80.9,82.31,82.1,81.89,81.66,92.34,71.0,"87,71,807","71,63,17,431.78","38,709"
10-Nov-2025,EQ,80.9,82.72,80.68,81.48,82.52,82.31,81.77,92.34,71.0,"1,02,35,432","83,69,63,718.19","35,442"
07-Nov-2025,EQ,82.5,82.72,80.25,82.85,81.52,81.48,81.06,92.34,71.0,"2,18,56,711","1,77,18,11,778.22","64,691"
06-Nov-2025,EQ,84.05,84.55,81.72,84.16,82.8,82.85,82.54,92.34,71.0,"1,58,81,779","1,31,09,19,591.85","60,197"
04-Nov-2025,EQ,85.22,85.33,83.87,85.33,84.17,84.16,84.29,92.34,71.0,"82,26,185","69,33,65,792.99","37,276"
03-Nov-2025,EQ,84.99,85.7,84.57,84.84,85.4,85.33,85.35,92.34,71.0,"60,39,661","51,55,01,287.33","31,871"
31-Oct-2025,EQ,85.93,86.1,84.71,86.15,84.87,84.84,85.08,92.34,71.0,"94,47,129","80,37,94,532.24","41,601"
30-Oct-2025,EQ,87.14,87.23,85.71,86.95,86.2,86.15,86.14,92.34,71.0,"74,00,279","63,74,26,596.29","34,251"
29-Oct-2025,EQ,85.0,87.09,84.78,84.63,87.0,86.95,86.49,92.34,71.0,"1,70,56,980","1,47,52,39,817.10","54,414"
28-Oct-2025,EQ,85.04,85.42,84.49,85.02,84.62,84.63,84.83,92.34,71.0,"95,28,901","80,83,79,106.78","46,637"
27-Oct-2025,EQ,85.25,85.43,84.8,84.79,84.96,85.02,85.06,92.34,71.0,"69,39,884","59,02,88,336.70","32,337"
24-Oct-2025,EQ,85.71,86.8,84.61,85.82,84.86,84.79,85.55,92.34,71.0,"1,69,12,048","1,44,68,01,774.76","49,932"
23-Oct-2025,EQ,86.06,87.29,85.48,86.35,85.85,85.82,86.18,92.34,71.0,"1,73,96,942","1,49,92,61,495.29","49,198"
21-Oct-2025,EQ,86.7,87.0,86.15,86.56,86.38,86.35,86.5,92.34,71.0,"14,80,658","12,80,72,903.39","13,115"
20-Oct-2025,EQ,86.99,87.5,86.4,86.74,86.5,86.56,86.83,92.34,71.0,"1,33,01,204","1,15,48,84,164.58","45,790"
