Date,Close,DMA,DMA25,DMA50,BuyLevel,SellLevel,BuySignal,BuyPrice,SellSignal,SellPrice
2024-12-04,56.01,,,,,,0,,0,
2024-12-05,56.29,,,,,,0,,0,
2024-12-06,56.56,,,,,,0,,0,
2024-12-09,56.38,,,,,,0,,0,
2024-12-10,55.39,,,,,,0,,0,
2024-12-11,55.16,,,,,,0,,0,
2024-12-12,54.01,,,,,,0,,0,
2024-12-13,53.91,,,,,,0,,0,
2024-12-16,53.05,,,,,,0,,0,
2024-12-17,51.72,,,,,,0,,0,
2024-12-18,51.8,,,,,,0,,0,
2024-12-19,52.61,,,,,,0,,0,
2024-12-20,51.9,,,,,,0,,0,
2024-12-23,51.82,,,,,,0,,0,
2024-12-24,50.79,,,,,,0,,0,
2024-12-26,50.4,,,,,,0,,0,
2024-12-27,50.59,,,,,,0,,0,
2024-12-30,50.02,,,,,,0,,0,
2024-12-31,50.43,,,,,,0,,0,
2025-01-01,51.29,,,,,,0,,0,
2025-01-02,50.59,,,,,,0,,0,
2025-01-03,50.63,,,,,,0,,0,
2025-01-06,47.61,,,,,,0,,0,
2025-01-07,49.27,,,,,,0,,0,
2025-01-08,48.34,52.26,52.26,,51.22,53.31,1,48.34,0,
2025-01-09,47.58,51.93,51.93,,50.89,52.96,0,,0,
2025-01-10,46.68,51.54,51.54,,50.51,52.57,0,,0,
2025-01-13,44.66,51.07,51.07,,50.04,52.09,0,,0,
2025-01-14,46.96,50.69,50.69,,49.67,51.7,0,,0,
2025-01-15,46.24,50.32,50.32,,49.32,51.33,0,,0,
2025-01-16,49.23,50.09,50.09,,49.08,51.09,0,,0,
2025-01-17,49.83,49.92,49.92,,48.92,50.92,0,,0,
2025-01-20,51.53,49.82,49.82,,48.83,50.82,0,,1,51.53
2025-01-21,50.07,49.7,49.7,,48.71,50.7,0,,0,
2025-01-22,47.8,49.55,49.55,,48.56,50.54,1,47.8,0,
2025-01-23,47.69,49.38,49.38,,48.39,50.37,0,,0,
2025-01-24,46.73,49.15,49.15,,48.16,50.13,0,,0,
2025-01-27,45.39,48.89,48.89,,47.91,49.86,0,,0,
2025-01-28,43.83,48.57,48.57,,47.6,49.54,0,,0,
2025-01-29,45.49,48.36,48.36,,47.39,49.32,0,,0,
2025-01-30,45.1,48.14,48.14,,47.18,49.11,0,,0,
2025-01-31,46.82,47.99,47.99,,47.03,48.95,0,,0,
2025-02-01,47.59,47.9,47.9,,46.94,48.85,0,,0,
2025-02-03,46.01,47.72,47.72,,46.76,48.67,0,,0,
2025-02-04,46.95,47.54,47.54,,46.59,48.5,0,,0,
2025-02-05,47.62,47.43,47.43,,46.48,48.37,0,,0,
2025-02-06,47.42,47.3,47.3,,46.35,48.24,0,,0,
2025-02-07,46.79,47.26,47.26,,46.32,48.21,0,,0,
2025-02-10,45.32,47.11,47.11,,46.16,48.05,0,,0,
2025-02-11,44.17,46.94,46.94,49.6,46.0,47.88,0,,0,
2025-02-12,43.41,46.77,46.77,49.35,45.84,47.71,0,,0,
2025-02-13,41.16,46.55,46.55,49.05,45.62,47.48,0,,0,
2025-02-14,37.38,46.26,46.26,48.66,45.34,47.19,0,,0,
2025-02-17,36.29,45.83,45.83,48.26,44.92,46.75,0,,0,
2025-02-18,34.69,45.37,45.37,47.85,44.46,46.28,0,,0,
2025-02-19,36.67,44.87,44.87,47.48,43.97,45.77,0,,0,
2025-02-20,39.94,44.47,44.47,47.2,43.58,45.36,0,,0,
2025-02-21,39.42,43.99,43.99,46.91,43.11,44.87,0,,0,
2025-02-24,38.53,43.53,43.53,46.62,42.66,44.4,0,,0,
2025-02-25,38.14,43.14,43.14,46.34,42.28,44.0,0,,0,
2025-02-27,36.97,42.71,42.71,46.05,41.86,43.57,0,,0,
2025-02-28,36.22,42.29,42.29,45.72,41.45,43.14,0,,0,
2025-03-03,35.13,41.88,41.88,45.38,41.04,42.72,0,,0,
2025-03-04,36.99,41.61,41.61,45.09,40.78,42.44,0,,0,
2025-03-05,38.79,41.34,41.34,44.85,40.51,42.17,0,,0,
2025-03-06,39.86,41.13,41.13,44.64,40.31,41.95,0,,0,
2025-03-07,40.53,40.88,40.88,44.44,40.06,41.7,0,,0,
2025-03-10,38.92,40.53,40.53,44.21,39.72,41.34,0,,0,
2025-03-11,38.13,40.22,40.22,43.97,39.41,41.02,0,,0,
2025-03-12,37.88,39.85,39.85,43.7,39.06,40.65,0,,0,
2025-03-13,37.63,39.46,39.46,43.44,38.67,40.24,0,,0,
2025-03-17,36.12,39.0,39.0,43.15,38.22,39.78,0,,0,
2025-03-18,36.99,38.61,38.61,42.94,37.84,39.38,0,,0,
2025-03-19,37.91,38.31,38.31,42.71,37.55,39.08,0,,0,
2025-03-20,38.59,38.09,38.09,42.52,37.33,38.85,0,,0,
2025-03-21,39.26,37.93,37.93,42.35,37.17,38.68,0,,1,39.26
2025-03-24,39.07,37.84,37.84,42.2,37.09,38.6,0,,0,
2025-03-25,37.3,37.84,37.84,42.05,37.08,38.6,0,,0,
2025-03-26,36.47,37.85,37.85,41.84,37.09,38.6,1,36.47,0,
2025-03-27,36.1,37.9,37.9,41.64,37.14,38.66,0,,0,
2025-03-28,35.74,37.87,37.87,41.37,37.11,38.62,0,,0,
2025-04-01,37.41,37.76,37.76,41.12,37.01,38.52,0,,0,
2025-04-02,37.95,37.71,37.71,40.85,36.95,38.46,0,,0,
2025-04-03,39.22,37.73,37.73,40.63,36.98,38.49,0,,1,39.22
2025-04-04,37.69,37.71,37.71,40.43,36.96,38.47,0,,0,
2025-04-07,35.94,37.67,37.67,40.19,36.92,38.43,1,35.94,0,
2025-04-08,36.73,37.69,37.69,39.99,36.94,38.45,0,,0,
2025-04-09,36.47,37.75,37.75,39.82,36.99,38.5,0,,0,
2025-04-11,36.91,37.74,37.74,39.68,36.99,38.5,0,,0,
2025-04-15,38.45,37.73,37.73,39.54,36.98,38.49,0,,0,
2025-04-16,39.12,37.7,37.7,39.42,36.95,38.46,0,,1,39.12
2025-04-17,39.63,37.67,37.67,39.27,36.91,38.42,0,,0,
2025-04-21,40.08,37.71,37.71,39.12,36.96,38.47,0,,0,
2025-04-22,40.57,37.81,37.81,39.01,37.05,38.57,0,,0,
2025-04-23,40.31,37.91,37.91,38.88,37.15,38.66,0,,0,
2025-04-24,40.78,38.03,38.03,38.74,37.27,38.79,0,,0,
2025-04-25,38.74,38.14,38.14,38.57,37.37,38.9,0,,0,
2025-04-28,38.65,38.2,38.2,38.41,37.44,38.97,0,,0,
2025-04-29,38.28,38.22,38.22,38.27,37.45,38.98,0,,0,
2025-04-30,37.46,38.17,38.17,38.13,37.41,38.94,0,,0,
2025-05-02,37.34,38.1,38.1,38.01,37.33,38.86,0,,0,
2025-05-05,37.97,38.05,38.05,37.95,37.29,38.81,0,,0,
2025-05-06,37.12,38.05,38.05,37.94,37.28,38.81,1,37.12,0,
2025-05-07,37.05,38.07,38.07,37.96,37.31,38.83,0,,0,
2025-05-08,36.55,38.09,38.09,37.99,37.32,38.85,0,,0,
2025-05-09,36.66,38.12,38.12,37.99,37.36,38.89,0,,0,
2025-05-12,38.67,38.17,38.17,37.97,37.41,38.94,0,,0,
2025-05-13,38.83,38.21,38.21,37.96,37.44,38.97,0,,0,
2025-05-14,39.78,38.23,38.23,37.98,37.47,39.0,0,,1,39.78
2025-05-15,41.3,38.38,38.38,38.05,37.61,39.14,0,,0,
2025-05-16,39.97,38.54,38.54,38.11,37.77,39.31,0,,0,
2025-05-19,40.11,38.67,38.67,38.18,37.9,39.45,0,,0,
2025-05-20,39.05,38.78,38.78,38.26,38.0,39.55,0,,0,
2025-05-21,39.42,38.88,38.88,38.31,38.1,39.65,0,,0,
2025-05-22,39.78,38.93,38.93,38.33,38.15,39.71,0,,0,
2025-05-23,39.87,38.96,38.96,38.33,38.18,39.74,0,,0,
2025-05-26,40.37,38.99,38.99,38.33,38.21,39.77,0,,0,
2025-05-27,40.55,39.01,39.01,38.36,38.23,39.79,0,,0,
2025-05-28,41.13,39.03,39.03,38.42,38.25,39.81,0,,0,
2025-05-29,39.17,38.98,38.98,38.45,38.2,39.76,0,,0,
2025-05-30,41.62,39.02,39.02,38.52,38.24,39.8,0,,0,
2025-06-02,42.12,39.15,39.15,38.65,38.37,39.94,0,,0,
2025-06-03,41.85,39.28,39.28,38.74,38.5,40.07,0,,0,
2025-06-04,41.73,39.42,39.42,38.82,38.63,40.21,0,,0,
2025-06-05,41.96,39.6,39.6,38.89,38.81,40.39,0,,0,
2025-06-06,41.99,39.78,39.78,38.94,38.99,40.58,0,,0,
2025-06-09,43.36,40.0,40.0,39.03,39.2,40.8,0,,0,
2025-06-10,43.19,40.24,40.24,39.14,39.44,41.05,0,,0,
2025-06-11,43.76,40.51,40.51,39.29,39.7,41.32,0,,0,
2025-06-12,43.62,40.79,40.79,39.44,39.98,41.61,0,,0,
2025-06-13,43.16,41.05,41.05,39.59,40.23,41.88,0,,0,
2025-06-16,42.97,41.23,41.23,39.7,40.4,42.05,0,,0,
2025-06-17,42.53,41.37,41.37,39.79,40.55,42.2,0,,0,
2025-06-18,42.04,41.46,41.46,39.85,40.64,42.29,0,,0,
2025-06-19,40.43,41.43,41.43,39.9,40.6,42.26,1,40.43,0,
2025-06-20,41.21,41.48,41.48,40.01,40.65,42.31,0,,0,
2025-06-23,41.13,41.52,41.52,40.1,40.69,42.35,0,,0,
2025-06-24,42.18,41.65,41.65,40.21,40.81,42.48,0,,0,
2025-06-25,43.6,41.81,41.81,40.34,40.98,42.65,0,,1,43.6
2025-06-26,42.46,41.92,41.92,40.42,41.08,42.76,0,,0,
2025-06-27,42.32,42.02,42.02,40.49,41.18,42.86,0,,0,
2025-06-30,42.48,42.1,42.1,40.55,41.26,42.94,0,,0,
2025-07-01,41.83,42.15,42.15,40.58,41.31,43.0,0,,0,
2025-07-02,41.52,42.17,42.17,40.6,41.33,43.01,0,,0,
2025-07-03,41.3,42.25,42.25,40.62,41.41,43.1,1,41.3,0,
2025-07-04,41.23,42.24,42.24,40.63,41.39,43.08,0,,0,
2025-07-07,41.13,42.2,42.2,40.68,41.36,43.04,0,,0,
2025-07-08,42.35,42.22,42.22,40.75,41.37,43.06,0,,0,
2025-07-09,41.71,42.22,42.22,40.82,41.37,43.06,0,,0,
2025-07-10,42.02,42.22,42.22,40.91,41.38,43.07,0,,0,
2025-07-11,41.86,42.22,42.22,41.0,41.37,43.06,0,,0,
2025-07-14,41.85,42.16,42.16,41.08,41.31,43.0,0,,0,
2025-07-15,42.08,42.11,42.11,41.18,41.27,42.95,0,,0,
2025-07-16,42.82,42.07,42.07,41.29,41.23,42.91,0,,0,
2025-07-17,43.24,42.06,42.06,41.43,41.22,42.9,0,,1,43.24
2025-07-18,44.25,42.1,42.1,41.58,41.26,42.94,0,,0,
2025-07-21,47.35,42.28,42.28,41.75,41.43,43.12,0,,0,
2025-07-22,47.05,42.46,42.46,41.92,41.61,43.31,0,,0,
2025-07-23,45.84,42.61,42.61,42.04,41.76,43.46,0,,0,
2025-07-24,45.55,42.81,42.81,42.12,41.96,43.67,0,,0,
2025-07-25,44.55,42.95,42.95,42.21,42.09,43.81,0,,0,
2025-07-28,43.54,43.04,43.04,42.28,42.18,43.91,0,,0,
2025-07-29,45.24,43.17,43.17,42.41,42.3,44.03,0,,0,
2025-07-30,44.9,43.22,43.22,42.52,42.35,44.08,0,,0,
2025-07-31,43.98,43.28,43.28,42.6,42.41,44.15,0,,0,
2025-08-01,43.87,43.34,43.34,42.68,42.47,44.21,0,,0,
2025-08-04,44.43,43.42,43.42,42.76,42.55,44.29,0,,0,
2025-08-05,44.56,43.53,43.53,42.84,42.66,44.4,0,,0,
2025-08-06,44.06,43.63,43.63,42.9,42.76,44.5,0,,0,
2025-08-07,43.76,43.73,43.73,42.99,42.85,44.6,0,,0,
2025-08-08,43.03,43.8,43.8,43.02,42.92,44.68,0,,0,
2025-08-11,43.13,43.88,43.88,43.04,43.0,44.76,0,,0,
2025-08-12,40.72,43.82,43.82,43.02,42.94,44.69,1,40.72,0,
2025-08-13,41.72,43.82,43.82,43.02,42.94,44.69,0,,0,
2025-08-14,41.02,43.78,43.78,43.0,42.9,44.65,0,,0,
2025-08-18,40.89,43.74,43.74,42.98,42.86,44.61,0,,0,
2025-08-19,41.66,43.73,43.73,42.94,42.86,44.6,0,,0,
2025-08-20,41.61,43.71,43.71,42.91,42.84,44.59,0,,0,
2025-08-21,41.31,43.65,43.65,42.86,42.78,44.52,0,,0,
2025-08-22,41.85,43.59,43.59,42.83,42.72,44.47,0,,0,
2025-08-25,41.42,43.48,43.48,42.79,42.61,44.35,0,,0,
2025-08-26,40.27,43.2,43.2,42.74,42.33,44.06,0,,0,
2025-08-28,40.01,42.92,42.92,42.69,42.06,43.78,0,,0,
2025-08-29,39.99,42.68,42.68,42.65,41.83,43.54,0,,0,
2025-09-01,40.08,42.46,42.46,42.64,41.61,43.31,0,,0,
2025-09-02,40.76,42.31,42.31,42.63,41.47,43.16,0,,0,
2025-09-03,41.38,42.23,42.23,42.64,41.38,43.07,0,,0,
2025-09-04,40.91,42.05,42.05,42.61,41.21,42.89,0,,0,
2025-09-05,40.58,41.88,41.88,42.55,41.04,42.72,0,,0,
2025-09-08,40.57,41.74,41.74,42.51,40.91,42.58,0,,0,
2025-09-09,40.24,41.6,41.6,42.47,40.77,42.43,0,,0,
2025-09-10,40.45,41.44,41.44,42.43,40.61,42.27,0,,0,
2025-09-11,40.79,41.29,41.29,42.41,40.46,42.11,0,,0,
2025-09-12,40.49,41.15,41.15,42.39,40.32,41.97,0,,0,
