Date,Close,DMA,DMA25,DMA50,BuyLevel,SellLevel,BuySignal,BuyPrice,SellSignal,SellPrice
2023-12-11,148.95,,,,,,0,,0,
2023-12-12,150.85,,,,,,0,,0,
2023-12-13,151.55,,,,,,0,,0,
2023-12-14,154.3,,,,,,0,,0,
2023-12-15,151.6,,,,,,0,,0,
2023-12-18,149.6,,,,,,0,,0,
2023-12-19,149.75,,,,,,0,,0,
2023-12-20,140.85,,,,,,0,,0,
2023-12-21,146.6,,,,,,0,,0,
2023-12-22,146.7,,,,,,0,,0,
2023-12-26,148.7,,,,,,0,,0,
2023-12-27,145.7,,,,,,0,,0,
2023-12-28,150.4,,,,,,0,,0,
2023-12-29,153.05,,,,,,0,,0,
2024-01-01,158.6,,,,,,0,,0,
2024-01-02,158.75,,,,,,0,,0,
2024-01-03,156.7,,,,,,0,,0,
2024-01-04,159.15,,,,,,0,,0,
2024-01-05,157.15,,,,,,0,,0,
2024-01-08,156.2,,,,,,0,,0,
2024-01-09,155.95,,,,,,0,,0,
2024-01-10,156.75,,,,,,0,,0,
2024-01-11,165.1,,,,,,0,,0,
2024-01-12,165.35,,,,,,0,,0,
2024-01-15,166.5,153.79,153.79,,144.56,163.02,0,,0,
2024-01-16,164.85,154.43,154.43,,145.16,163.69,0,,0,
2024-01-17,161.25,154.84,154.84,,145.55,164.13,0,,0,
2024-01-18,160.35,155.2,155.2,,145.88,164.51,0,,0,
2024-01-19,159.85,155.42,155.42,,146.09,164.74,0,,0,
2024-01-20,163.2,155.88,155.88,,146.53,165.23,0,,0,
2024-01-23,159.3,156.27,156.27,,146.89,165.65,0,,0,
2024-01-24,159.0,156.64,156.64,,147.24,166.04,0,,0,
2024-01-25,163.6,157.55,157.55,,148.1,167.0,0,,0,
2024-01-29,168.35,158.42,158.42,,148.91,167.93,0,,0,
2024-01-30,169.9,159.35,159.35,,149.79,168.91,0,,0,
2024-01-31,176.2,160.45,160.45,,150.82,170.07,0,,0,
2024-02-01,180.65,161.85,161.85,,152.14,171.56,0,,0,
2024-02-02,182.35,163.12,163.12,,153.34,172.91,0,,0,
2024-02-05,184.9,164.4,164.4,,154.53,174.26,0,,0,
2024-02-06,182.25,165.34,165.34,,155.42,175.26,0,,0,
2024-02-07,178.7,166.14,166.14,,156.17,176.11,0,,0,
2024-02-08,180.6,167.1,167.1,,157.07,177.12,0,,0,
2024-02-09,178.85,167.89,167.89,,157.81,177.96,0,,0,
2024-02-12,170.75,168.43,168.43,,158.32,178.54,0,,0,
2024-02-13,174.35,169.16,169.16,,159.01,179.31,0,,0,
2024-02-14,173.95,169.88,169.88,,159.68,180.07,0,,0,
2024-02-15,191.15,171.25,171.25,,160.98,181.53,0,,0,
2024-02-16,198.35,172.58,172.58,,162.23,182.94,0,,0,
2024-02-19,208.55,174.31,174.31,,163.85,184.77,0,,0,
2024-02-20,205.7,175.88,175.88,164.84,165.33,186.43,0,,0,
2024-02-21,198.4,177.22,177.22,165.82,166.59,187.85,0,,0,
2024-02-22,208.2,179.1,179.1,166.97,168.35,189.84,0,,0,
2024-02-23,213.55,181.23,181.23,168.21,170.35,192.1,0,,0,
2024-02-26,203.6,182.98,182.98,169.2,172.0,193.95,0,,0,
2024-02-27,209.8,184.84,184.84,170.36,173.75,195.93,0,,0,
2024-02-28,202.5,186.57,186.57,171.42,175.37,197.76,0,,0,
2024-02-29,209.2,188.58,188.58,172.61,177.26,199.89,0,,0,
2024-03-01,214.1,190.6,190.6,174.07,179.16,202.03,0,,0,
2024-03-02,215.65,192.49,192.49,175.45,180.94,204.04,0,,0,
