Date,Close,DMA,DMA25,DMA50,BuyLevel,SellLevel,BuySignal,BuyPrice,SellSignal,SellPrice
2024-11-26,102.9,,,,,,0,,0,
2024-11-27,104.13,,,,,,0,,0,
2024-11-28,105.54,,,,,,0,,0,
2024-11-29,102.97,,,,,,0,,0,
2024-12-02,105.54,,,,,,0,,0,
2024-12-03,105.82,,,,,,0,,0,
2024-12-04,104.3,,,,,,0,,0,
2024-12-05,104.85,,,,,,0,,0,
2024-12-06,104.7,,,,,,0,,0,
2024-12-09,103.67,,,,,,0,,0,
2024-12-10,103.32,,,,,,0,,0,
2024-12-11,102.61,,,,,,0,,0,
2024-12-12,102.02,,,,,,0,,0,
2024-12-13,101.77,,,,,,0,,0,
2024-12-16,101.97,,,,,,0,,0,
2024-12-17,100.14,,,,,,0,,0,
2024-12-18,99.33,,,,,,0,,0,
2024-12-19,99.24,,,,,,0,,0,
2024-12-20,96.67,,,,,,0,,0,
2024-12-23,95.86,,,,,,0,,0,
2024-12-24,96.03,,,,,,0,,0,
2024-12-26,97.53,,,,,,0,,0,
2024-12-27,96.29,,,,,,0,,0,
2024-12-30,97.0,,,,,,0,,0,
2024-12-31,97.32,,101.26,,,,0,,0,
2025-01-01,100.54,,101.17,,,,0,,0,
2025-01-02,103.64,,101.15,,,,0,,0,
2025-01-03,103.65,,101.07,,,,0,,0,
2025-01-06,97.55,,100.85,,,,0,,0,
2025-01-07,98.57,,100.58,,,,0,,0,
2025-01-08,97.32,,100.24,,,,0,,0,
2025-01-09,97.47,,99.96,,,,0,,0,
2025-01-10,94.79,,99.56,,,,0,,0,
2025-01-13,88.46,,98.91,,,,0,,0,
2025-01-14,89.67,,98.35,,,,0,,0,
2025-01-15,89.02,,97.78,,,,0,,0,
2025-01-16,91.12,,97.32,,,,0,,0,
2025-01-17,90.9,,96.87,,,,0,,0,
2025-01-20,92.18,,96.49,,,,0,,0,
2025-01-21,93.0,,96.13,,,,0,,0,
2025-01-22,89.96,,95.72,,,,0,,0,
2025-01-23,89.35,,95.33,,,,0,,0,
2025-01-24,88.3,,94.89,,,,0,,0,
2025-01-27,87.21,,94.51,,,,0,,0,
2025-01-28,87.51,,94.18,,,,0,,0,
2025-01-29,89.25,,93.9,,,,0,,0,
2025-01-30,88.98,,93.56,,,,0,,0,
2025-01-31,89.89,,93.31,,,,0,,0,
2025-02-01,93.56,,93.17,,,,0,,0,
2025-02-03,89.82,,92.87,97.06,,,0,,0,
2025-02-04,90.2,,92.45,96.81,,,0,,0,
2025-02-05,91.13,,91.95,96.55,,,0,,0,
2025-02-06,91.88,,91.48,96.28,,,0,,0,
2025-02-07,90.45,,91.2,96.03,,,0,,0,
2025-02-10,89.84,,90.85,95.71,,,0,,0,
2025-02-11,86.77,,90.43,95.33,,,0,,0,
2025-02-12,83.6,,89.87,94.92,,,0,,0,
2025-02-13,83.61,,89.43,94.49,,,0,,0,
2025-02-14,83.8,,89.24,94.08,,,0,,0,
2025-02-17,81.59,,88.92,93.63,,,0,,0,
2025-02-18,76.94,,88.43,93.11,,,0,,0,
2025-02-19,78.19,,87.92,92.62,,,0,,0,
2025-02-20,77.8,,87.39,92.13,,,0,,0,
2025-02-21,76.49,,86.76,91.63,,,0,,0,
2025-02-24,76.01,,86.09,91.11,,,0,,0,
2025-02-25,76.53,,85.55,90.64,,,0,,0,
2025-02-27,75.21,,84.98,90.15,,,0,,0,
2025-02-28,71.19,,84.3,89.59,,,0,,0,
2025-03-03,71.45,,83.67,89.09,,,0,,0,
2025-03-04,70.85,,83.0,88.59,,,0,,0,
2025-03-05,74.28,,82.4,88.15,,,0,,0,
2025-03-06,74.48,,81.82,87.69,,,0,,0,
2025-03-07,74.96,,81.23,87.27,,,0,,0,
2025-03-10,72.08,,80.37,86.77,,,0,,0,
2025-03-11,72.28,91.26,79.66,86.27,84.88,97.65,1,72.28,0,
2025-03-12,71.54,90.85,78.92,85.69,84.49,97.21,0,,0,
2025-03-13,71.18,90.41,78.12,85.04,84.08,96.74,0,,0,
2025-03-17,71.26,89.95,77.3,84.39,83.65,96.25,0,,0,
2025-03-18,74.2,89.57,76.65,83.92,83.3,95.84,0,,0,
2025-03-19,76.58,89.18,76.11,83.48,82.94,95.42,0,,0,
2025-03-20,77.6,88.8,75.75,83.09,82.59,95.02,0,,0,
2025-03-21,79.08,88.47,75.57,82.72,82.27,94.66,0,,0,
2025-03-24,78.94,88.12,75.38,82.4,81.95,94.29,0,,0,
2025-03-25,77.41,87.76,75.12,82.18,81.62,93.9,0,,0,
2025-03-26,76.12,87.39,74.91,81.91,81.27,93.51,0,,0,
2025-03-27,77.04,87.04,74.91,81.67,80.95,93.13,0,,0,
2025-03-28,75.37,86.68,74.8,81.36,80.61,92.74,0,,0,
2025-04-01,75.86,86.33,74.72,81.06,80.29,92.37,0,,0,
2025-04-02,75.41,85.98,74.68,80.72,79.96,92.0,0,,0,
2025-04-03,76.83,85.64,74.71,80.4,79.65,91.64,0,,0,
2025-04-04,74.97,85.31,74.65,80.1,79.33,91.28,0,,0,
2025-04-07,71.75,84.94,74.51,79.75,78.99,90.88,0,,0,
2025-04-08,72.28,84.58,74.55,79.42,78.66,90.5,0,,0,
2025-04-09,71.75,84.25,74.56,79.12,78.35,90.14,0,,0,
2025-04-11,72.16,83.93,74.62,78.81,78.06,89.81,0,,0,
2025-04-15,75.6,83.66,74.67,78.54,77.8,89.51,0,,0,
2025-04-16,76.83,83.38,74.76,78.29,77.55,89.22,0,,0,
2025-04-17,77.37,83.13,74.86,78.04,77.31,88.95,0,,0,
2025-04-21,78.69,82.89,75.12,77.74,77.08,88.69,0,,0,
2025-04-22,83.5,82.7,75.57,77.62,76.91,88.49,0,,0,
2025-04-23,85.3,82.5,76.12,77.52,76.72,88.27,0,,0,
2025-04-24,84.36,82.24,76.65,77.39,76.48,88.0,0,,0,
2025-04-25,83.36,81.97,77.13,77.21,76.23,87.71,0,,0,
2025-04-28,83.01,81.78,77.49,77.07,76.05,87.5,0,,0,
2025-04-29,82.17,81.56,77.71,76.91,75.85,87.27,0,,0,
2025-04-30,80.1,81.33,77.81,76.78,75.64,87.02,0,,0,
2025-05-02,80.52,81.1,77.87,76.72,75.43,86.78,0,,0,
2025-05-05,81.26,80.92,77.96,76.67,75.26,86.59,0,,0,
2025-05-06,81.21,80.83,78.11,76.62,75.17,86.48,0,,0,
2025-05-07,81.01,80.71,78.31,76.61,75.06,86.36,0,,0,
2025-05-08,81.16,80.61,78.47,76.69,74.96,86.25,0,,0,
2025-05-09,82.96,80.5,78.78,76.79,74.86,86.13,0,,0,
