Date,Close,DMA,DMA25,DMA50,BuyLevel,SellLevel,BuySignal,BuyPrice,SellSignal,SellPrice
2024-12-03,63.68,,,,,,0,,0,
2024-12-04,63.75,,,,,,0,,0,
2024-12-05,63.8,,,,,,0,,0,
2024-12-06,63.06,,,,,,0,,0,
2024-12-09,62.85,,,,,,0,,0,
2024-12-10,65.15,,,,,,0,,0,
2024-12-11,65.39,,,,,,0,,0,
2024-12-12,64.43,,,,,,0,,0,
2024-12-13,63.9,,,,,,0,,0,
2024-12-16,62.67,,,,,,0,,0,
2024-12-17,62.36,,,,,,0,,0,
2024-12-18,62.27,,,,,,0,,0,
2024-12-19,62.0,,,,,,0,,0,
2024-12-20,59.94,,,,,,0,,0,
2024-12-23,58.99,,,,,,0,,0,
2024-12-24,58.67,,,,,,0,,0,
2024-12-26,58.15,,,,,,0,,0,
2024-12-27,58.43,,,,,,0,,0,
2024-12-30,57.95,,,,,,0,,0,
2024-12-31,58.24,,,,,,0,,0,
2025-01-01,58.94,,,,,,0,,0,
2025-01-02,59.97,,,,,,0,,0,
2025-01-03,59.47,,,,,,0,,0,
2025-01-06,58.07,,,,,,0,,0,
2025-01-07,57.8,,61.2,,,,0,,0,
2025-01-08,57.34,,60.94,,,,0,,0,
2025-01-09,57.34,,60.69,,,,0,,0,
2025-01-10,56.14,,60.38,,,,0,,0,
2025-01-13,55.2,,60.07,,,,0,,0,
2025-01-14,55.33,,59.77,,,,0,,0,
2025-01-15,55.68,,59.39,,,,0,,0,
2025-01-16,56.76,,59.04,,,,0,,0,
2025-01-17,56.53,,58.73,,,,0,,0,
2025-01-20,56.36,,58.42,,,,0,,0,
2025-01-21,56.12,,58.16,,,,0,,0,
2025-01-22,54.84,,57.86,,,,0,,0,
2025-01-23,56.05,,57.61,,,,0,,0,
2025-01-24,55.01,,57.33,,,,0,,0,
2025-01-27,54.74,,57.12,,,,0,,0,
2025-01-28,53.86,,56.92,,,,0,,0,
2025-01-29,54.17,,56.74,,,,0,,0,
2025-01-30,54.61,,56.6,,,,0,,0,
2025-01-31,56.13,,56.51,,,,0,,0,
2025-02-01,56.7,,56.46,,,,0,,0,
2025-02-03,56.53,,56.39,,,,0,,0,
2025-02-04,56.99,,56.31,,,,0,,0,
2025-02-05,56.49,,56.17,,,,0,,0,
2025-02-06,56.14,,56.04,,,,0,,0,
2025-02-07,55.5,,55.93,,,,0,,0,
2025-02-10,54.21,58.49,55.79,58.49,52.64,64.34,0,,0,
2025-02-11,51.81,58.26,55.57,58.26,52.43,64.08,1,51.81,0,
2025-02-12,50.56,57.99,55.3,57.99,52.19,63.79,0,,0,
2025-02-13,51.38,57.74,55.11,57.74,51.97,63.52,0,,0,
2025-02-14,49.87,57.48,54.89,57.48,51.73,63.23,0,,0,
2025-02-17,49.22,57.21,54.65,57.21,51.49,62.93,0,,0,
