Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
30-Dec-2025,EQ,"123.81","125.50","123.81","124.72","124.33","124.47","124.59","129.99","68.57",1078575,"13,43,79,695.44",9300
29-Dec-2025,EQ,"126.00","127.00","123.91","125.87","125.10","124.72","125.17","129.99","68.57",1441125,"18,03,89,963.03",15874
26-Dec-2025,EQ,"126.06","128.76","125.36","126.06","125.94","125.87","126.90","129.99","68.57",1980678,"25,13,55,550.27",18546
24-Dec-2025,EQ,"128.94","128.94","125.68","128.86","126.50","126.06","126.81","129.99","68.57",1547490,"19,62,44,640.38",15878
23-Dec-2025,EQ,"127.98","129.55","127.00","127.21","128.79","128.86","128.77","129.99","68.57",2199246,"28,31,95,774.93",21693
22-Dec-2025,EQ,"126.10","127.40","124.67","125.90","127.39","127.21","126.24","129.99","68.57",2134480,"26,94,49,330.76",25350
19-Dec-2025,EQ,"126.00","127.81","124.74","125.60","126.00","125.90","126.20","129.99","68.57",2290201,"28,90,34,093.69",16154
18-Dec-2025,EQ,"127.52","127.74","123.14","128.23","125.32","125.60","125.12","129.99","68.57",3261865,"40,81,29,464.43",32928
17-Dec-2025,EQ,"126.98","129.85","126.02","127.60","128.10","128.23","128.58","129.99","68.57",3186455,"40,97,05,956.84",35488
16-Dec-2025,EQ,"127.00","129.99","126.01","126.38","127.00","127.60","128.26","129.99","68.57",5070131,"65,02,72,701.56",57766
15-Dec-2025,EQ,"124.79","127.34","124.10","124.79","126.35","126.38","126.41","127.70","68.57",2335109,"29,51,76,959.94",16658
12-Dec-2025,EQ,"125.70","127.70","123.57","125.53","124.40","124.79","125.96","127.70","68.57",5115520,"64,43,58,809.83",39032
11-Dec-2025,EQ,"122.62","126.95","120.48","122.62","126.80","125.53","124.21","126.95","68.57",5113007,"63,50,85,120.25",35806
10-Dec-2025,EQ,"123.00","123.99","120.89","122.47","122.49","122.62","122.62","125.30","68.57",2667991,"32,71,52,900.20",20703
09-Dec-2025,EQ,"117.05","124.35","115.71","116.84","121.52","122.47","122.28","125.30","68.57",10908787,"1,33,39,75,042.28",68353
08-Dec-2025,EQ,"121.50","122.95","116.35","122.10","117.25","116.84","118.43","125.30","68.57",2347430,"27,80,04,149.43",20519
05-Dec-2025,EQ,"121.71","122.99","121.08","122.78","122.21","122.10","122.01","125.30","68.57",1930138,"23,54,91,140.78",15574
04-Dec-2025,EQ,"121.50","124.50","120.17","121.69","122.35","122.78","123.16","125.30","68.57",4013905,"49,43,43,133.72",26454
03-Dec-2025,EQ,"123.00","125.30","118.74","122.38","121.61","121.69","121.79","125.30","68.57",5021073,"61,15,39,061.98",29240
02-Dec-2025,EQ,"117.00","124.00","115.80","116.74","122.37","122.38","121.62","124.00","68.57",12439223,"1,51,29,09,629.58",80093
01-Dec-2025,EQ,"117.00","117.00","113.51","114.57","116.85","116.74","115.67","117.99","68.57",2764826,"31,98,06,158.35",22292
28-Nov-2025,EQ,"115.00","117.99","113.43","114.25","114.40","114.57","115.90","117.99","68.57",5189076,"60,14,36,995.16",37462
27-Nov-2025,EQ,"109.00","115.60","108.11","109.57","114.02","114.25","113.86","115.60","68.57",8841419,"1,00,66,65,714.20",50853
